github.com/AlDanial/cloc v 2.06  T=26.19 s (31.0 files/s, 6826.9 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                blank        comment           code
./.next-dev/types/app/api/admin/tts/assets/route.ts                                                                                                    21             14            312
./.next-dev/types/app/api/admin/tts/settings/route.ts                                                                                                  21             14            312
./.next-dev/types/app/api/ai/tts/route.ts                                                                                                              21             14            312
./.next-dev/types/app/api/articles/latest/route.ts                                                                                                     21             14            312
./.next-dev/types/app/api/auth/[...nextauth]/route.ts                                                                                                  21             14            312
./.next-dev/types/app/api/breaking/route.ts                                                                                                            21             14            312
./.next-dev/types/app/api/epapers/latest/route.ts                                                                                                      21             14            312
./.next-dev/types/app/api/epapers/route.ts                                                                                                             21             14            312
./.next-dev/types/app/api/stories/latest/route.ts                                                                                                      21             14            312
./.next-dev/types/app/api/user/save/route.ts                                                                                                           21             14            312
./app/api/admin/epapers/route.ts                                                                                                                       33              0            311
./lib/utils/epaperReaderLibrary.ts                                                                                                                     46              1            306
./components/ui/SmartEngagementPopup.tsx                                                                                                               35              1            305
./.next-dev/server/app/(admin)/admin/articles/page.js                                                                                                 183            189            303
./.next-dev/server/app/(admin)/admin/stories/page.js                                                                                                  183            189            303
./.next-dev/server/app/(admin)/admin/team/page.js                                                                                                     183            189            303
./app/api/admin/videos/[id]/route.ts                                                                                                                   47              0            298
./lib/ai/semanticSearch.ts                                                                                                                             38              0            294
./.next-dev/server/app/(admin)/admin/settings/page.js                                                                                                 177            183            293
./app/(reader)/main/careers/page.tsx                                                                                                                   38              0            291
./scripts/test-tts-deploy.js                                                                                                                           61              0            289
./app/api/admin/videos/route.ts                                                                                                                        43              0            286
./components/ai-chat/AiChatContentCards.tsx                                                                                                            22              0            284
./app/(admin)/admin/epapers/page.tsx                                                                                                                   25              0            282
./.next-dev/server/app/(admin)/admin/analytics/page.js                                                                                                173            177            281
./.next-dev/server/app/(auth)/signin/page.js                                                                                                          165            171            277
./app/(admin)/admin/ai/page.tsx                                                                                                                        33              0            277
./components/ui/DailyEpaperAlert.tsx                                                                                                                   34              1            276
./components/ai-chat/AiChatSheet.tsx                                                                                                                   47              0            274
./components/layout/Header.tsx                                                                                                                         22              1            274
./lib/storage/contactMessagesFile.ts                                                                                                                   42              0            273
./app/(reader)/main/privacy/page.tsx                                                                                                                   14              0            272
./lib/server/articleActivity.ts                                                                                                                        27              0            272
./app/(reader)/main/saved/page.tsx                                                                                                                     29              1            271
./app/(reader)/main/terms/page.tsx                                                                                                                      5              0            271
./components/ui/HeroCard.tsx                                                                                                                           36              0            271
./.next-dev/static/css/app/(reader)/main/layout.css                                                                                                    41              3            269
./app/api/contact/route.ts                                                                                                                             41              1            269
./app/api/admin/stories/[id]/route.ts                                                                                                                  37              0            267
./components/ui/BreakingNews.module.css                                                                                                                40              0            267
./app/(admin)/admin/layout.tsx                                                                                                                         21              1            260
./scripts/hostinger-release-utils.js                                                                                                                   59              2            257
./lib/utils/cursorPage.ts                                                                                                                              43              3            255
./.next-dev/server/app/api/admin/articles/route.js                                                                                                    152            156            254
./components/forms/RichTextEditor.tsx                                                                                                                  34              3            254
./data/analytics-events.json                                                                                                                            0              0            254
./lib/auth/permissions.ts                                                                                                                              37              0            254
./app/api/admin/tts/retry/route.ts                                                                                                                     34              0            253
./app/api/admin/articles/[id]/tts/route.ts                                                                                                             24              0            252
./lib/ai/contentIndex.ts                                                                                                                               29              0            251
./app/(reader)/main/latest/LatestFeedClient.tsx                                                                                                        28              0            250
./app/api/admin/epapers/[id]/articles/[articleId]/tts/route.ts                                                                                         25              0            250
./app/api/admin/epapers/[id]/pages/route.ts                                                                                                            34              0            249
./app/layout.tsx                                                                                                                                       28              8            249
./components/layout/MobileMenu.tsx                                                                                                                     23              0            246
./lib/utils/epaperLocalOcrClient.ts                                                                                                                    46              0            244
./app/api/epapers/[id]/articles/[articleId]/tts/route.ts                                                                                               31              0            241
./.next-dev/server/app/api/admin/articles/[id]/tts/route.js                                                                                           143            147            239
./app/(admin)/admin/my-work/page.tsx                                                                                                                   14              0            236
./app/api/admin/stories/route.ts                                                                                                                       36              0            236
./scripts/seed.js                                                                                                                                      35              0            232
./app/(reader)/main/cookies/page.tsx                                                                                                                    5              0            228
./lib/utils/pdfThumbnailClient.ts                                                                                                                      39              1            226
./app/api/epapers/[id]/route.ts                                                                                                                        25              0            223
./lib/content/visualStories.ts                                                                                                                         39              1            223
./lib/workflow/article.ts                                                                                                                              20              0            223
./scripts/smoke-check-deploy.js                                                                                                                        67             77            223
./.next-dev/server/vendor-chunks/next-auth.js                                                                                                         163            170            222
./app/api/admin/tts/settings/route.ts                                                                                                                  20              0            222
./app/(reader)/main/about/page.tsx                                                                                                                     14              0            220
./app/api/user/save/route.ts                                                                                                                           36              0            218
./app/api/epapers/latest/route.ts                                                                                                                      23              7            217
./.next-dev/server/app/api/admin/tts/settings/route.js                                                                                                128            132            214
./app/api/epapers/route.ts                                                                                                                             25              0            214
./app/api/admin/contact-messages/[id]/route.ts                                                                                                         28              0            209
./app/(admin)/admin/review-queue/page.tsx                                                                                                              11              0            208
./app/api/admin/epapers/[id]/articles/route.ts                                                                                                         22              0            208
./scripts/validate-production-env.js                                                                                                                   37              1            208
./lib/utils/publicEpaperFilters.ts                                                                                                                     35              0            206
./app/api/articles/latest/route.ts                                                                                                                     30              3            205
./components/ui/VideoPlayer.tsx                                                                                                                        23              2            202
./app/api/admin/articles/[id]/revisions/[revisionId]/restore/route.ts                                                                                  19              0            200
./lib/utils/cloudinary.ts                                                                                                                              38              1            196
./app/(reader)/main/ftaftaf/page.tsx                                                                                                                   39              0            195
./lib/ai/summarizer.ts                                                                                                                                 22              0            194
./components/ui/StoriesRail.tsx                                                                                                                        21              0            193
./app/api/admin/tts/prewarm/route.ts                                                                                                                   22              0            190
./app/api/articles/[id]/tts/route.ts                                                                                                                   27              0            190
./lib/utils/ttsStorage.ts                                                                                                                              36              0            188
./.next-dev/server/vendor-chunks/semver.js                                                                                                            136            143            186
./app/api/admin/contact-messages/route.ts                                                                                                              22              0            185
./components/ui/HeroCarousel.tsx                                                                                                                       18              5            185
./lib/seo/readerPageMetadata.ts                                                                                                                        22              0            185
./lib/storage/storiesFile.ts                                                                                                                           22              0            185
./components/ai-chat/AiChatComposer.tsx                                                                                                                15              0            182
./components/ui/BreakingNews.tsx                                                                                                                       20              0            182
./components/layout/BottomNav.tsx                                                                                                                      11              0            181
./app/api/user/track/route.ts                                                                                                                          30              1            180
./.next-dev/server/app/api/breaking/route.js                                                                                                          107            111            179
./components/ui/LegalPageLayout.tsx                                                                                                                    11              0            179
./lib/storage/videosFile.ts                                                                                                                            24              0            179
./.next-dev/static/chunks/app/layout.js                                                                                                               103            110            178
./components/ai-chat/AiChatLauncher.tsx                                                                                                                21              0            178
./scripts/test-admin-runtime.js                                                                                                                        35              0            176
./.next-dev/server/app/(marketing)/page.js                                                                                                            107            111            175
./lib/admin/articleWorkflowOverview.ts                                                                                                                 26              0            175
./app/(reader)/main/disclaimer/page.tsx                                                                                                                 5              0            173
./lib/utils/epaperAdminReadiness.ts                                                                                                                    19              0            172
./.next-dev/types/routes.d.ts                                                                                                                          11             31            171
./.next-dev/server/app/api/admin/tts/assets/route.js                                                                                                  101            105            169
./README.md                                                                                                                                            58              0            169
./app/api/admin/tts/cleanup/route.ts                                                                                                                   21              0            168
./lib/content/serverArticles.ts                                                                                                                        19              0            167
./app/(reader)/main/category/[slug]/page.tsx                                                                                                           20              0            165
./lib/security/antiBot.ts                                                                                                                              25              0            165
./.next-dev/server/app/_not-found/page.js                                                                                                              96            102            164
./.next-dev/server/app/api/admin/categories/route.js                                                                                                   98            102            164
./HOSTINGER_DEPLOY.md                                                                                                                                  68              0            163
./lib/server/contentActivity.ts                                                                                                                        20              0            163
./scripts/test-auth-guards.ts                                                                                                                          11              0            163
./.next-dev/app-build-manifest.json                                                                                                                     0              0            161
./lib/storage/epapersFile.ts                                                                                                                           22              0            161
./app/api/admin/tts/assets/route.ts                                                                                                                    17              0            160
./app/api/ai/suggestions/route.ts                                                                                                                      16              0            157
./.next-dev/server/app/api/admin/team/route.js                                                                                                         92             96            154
./.next-dev/server/app/api/user/save/route.js                                                                                                          92             96            154
./app/api/admin/epapers/[id]/generate-page-images/route.ts                                                                                             15              0            154
./scripts/seed.ts                                                                                                                                      26              0            154
./scripts/test-admin-credentials.ts                                                                                                                    33              0            152
./app/api/admin/categories/route.ts                                                                                                                    23              3            151
./.next-dev/server/vendor-chunks/motion-dom.js                                                                                                        109            116            150
./components/forms/LiveSearch.tsx                                                                                                                      12              0            150
./app/api/admin/articles/[id]/breaking-tts/route.ts                                                                                                    17              0            146
./app/api/admin/upload/route.ts                                                                                                                        19              0            145
./lib/utils/epaperPageImageGeneration.ts                                                                                                               24              0            145
./scripts/prepare-hostinger.js                                                                                                                         20              0            145
./app/(reader)/main/sitemap/page.tsx                                                                                                                   13              0            142
./components/ui/ArticleMetaRow.tsx                                                                                                                     11              0            142
./.hostinger/releases/y6XMA5rFK6C-B6tfz7NAz/public/sw.js                                                                                               21              2            141
./public/sw.js                                                                                                                                         21              2            141
./lib/store/appStore.ts                                                                                                                                26             21            140
./.next-dev/server/app/api/auth/[...nextauth]/route.js                                                                                                 83             87            139
./.next-dev/server/webpack-runtime.js                                                                                                                   1             74            139
./app/api/careers/apply/route.ts                                                                                                                       20              1            136
./app/api/breaking/route.ts                                                                                                                            19              0            132
./components/providers/AuthSync.tsx                                                                                                                    26              1            132
./lib/types/breaking.ts                                                                                                                                19              0            131
./MONGODB_SETUP.md                                                                                                                                     72              0            130
./app/(reader)/main/epaper/page.tsx                                                                                                                    20              0            130
./lib/content/liveArticles.ts                                                                                                                          18              0            130
./lib/utils/epaperHotspots.ts                                                                                                                          21              0            130
./.next-dev/server/app/api/articles/latest/route.js                                                                                                    77             81            129
./app/api/stories/latest/route.ts                                                                                                                      20              0            128
./next.config.js                                                                                                                                        2              5            126
./app/api/admin/epapers/[id]/tts/route.ts                                                                                                              15              0            125
./app/api/advertise/inquiry/route.ts                                                                                                                   19              1            125
./lib/utils/dateFormat.ts                                                                                                                              29              0            125
./.next-dev/server/app/api/epapers/latest/route.js                                                                                                     74             78            124
./app/api/analytics/track/route.ts                                                                                                                     24              0            124
./app/api/shorts/latest/route.ts                                                                                                                       14              4            124
./lib/ai/ttsClient.ts                                                                                                                                  20              0            122
./lib/constants/newsCategories.ts                                                                                                                       8              0            121
./app/api/videos/latest/route.ts                                                                                                                       14              3            120
./.next-dev/server/app/api/epapers/route.js                                                                                                            71             75            119
./components/ai-chat/types.ts                                                                                                                          11              0            119
./lib/pwa/client.ts                                                                                                                                    26              0            118
./app/api/admin/team/[id]/route.ts                                                                                                                     18              0            117
./app/api/admin/team/route.ts                                                                                                                          17              0            116
./app/(reader)/main/stories/page.tsx                                                                                                                   16              0            115
./components/ui/DesktopHeroEpaperCard.tsx                                                                                                              12              0            115
./lib/models/ContactMessage.ts                                                                                                                          7              0            115
./components/ai-chat/AiChatHeader.tsx                                                                                                                  11              0            114
./lib/models/Article.ts                                                                                                                                11              1            113
./app/api/admin/articles/[id]/revisions/route.ts                                                                                                       12              0            112
./app/api/ai/summary/route.ts                                                                                                                          20              0            112
./app/api/public/epapers/[id]/pdf/route.ts                                                                                                             18              0            112
./components/ui/DateInputField.tsx                                                                                                                     13              0            111
./app/api/marketing/lead/route.ts                                                                                                                      17              0            110
./lib/workflow/types.ts                                                                                                                                16              0            110
./app/(reader)/main/layout.tsx                                                                                                                         13              0            109
./tests/api/admin-upload-route.test.ts                                                                                                                 25              0            109
./lib/utils/articleImageUpload.ts                                                                                                                      21              0            108
./app/(reader)/main/advertise/page.tsx                                                                                                                  9              0            106
./lib/ai/gemini.ts                                                                                                                                     27              0            106
./.next-dev/server/app/api/stories/latest/route.js                                                                                                     62             66            104
./lib/constants/tts.ts                                                                                                                                 14              0            104
./lib/ai/articleCorpus.ts                                                                                                                              13              0            103
./components/layout/MobileSwipeTabs.tsx                                                                                                                23              0            101
./app/api/admin/tts/revalidate/route.ts                                                                                                                14              0            100
./components/ai-chat/AiChatBrandMark.tsx                                                                                                               10              1             99
./lib/notifications/contactAckEmail.ts                                                                                                                 15              0             99
./tailwind.config.js                                                                                                                                    0              3             97
./lib/ai/embeddings.ts                                                                                                                                 21              0             95
./lib/db/mongoose.ts                                                                                                                                   22              0             94
./components/layout/Logo.tsx                                                                                                                            8              0             93
./lib/auth/adminCredentials.ts                                                                                                                         22              0             93
./lib/auth/routeGuards.ts                                                                                                                              17              1             93
./lib/models/TtsConfig.ts                                                                                                                               5              0             93
./QUICK_START.md                                                                                                                                       32              0             92
./lib/models/AdvertiseInquiry.ts                                                                                                                        4              0             92
./app/(reader)/main/latest/page.tsx                                                                                                                    13              0             90
./lib/utils/epaperHotspotDetectionClient.ts                                                                                                            14              0             89
./app/(reader)/main/videos/page.tsx                                                                                                                    13              0             88
./app/(auth)/signin/page.tsx                                                                                                                           17              0             87
./lib/models/TtsAsset.ts                                                                                                                                6              0             87
./lib/utils/articleRichContent.ts                                                                                                                      15              0             87
./app/(reader)/main/article/[id]/layout.tsx                                                                                                             9              0             86
./app/api/admin/articles/[id]/activity/route.ts                                                                                                        15              0             86
./lib/models/User.ts                                                                                                                                    7              0             86
./components/auth/AuthButton.tsx                                                                                                                       10              2             85
./components/forms/TurnstileWidget.tsx                                                                                                                 14              2             85
./lib/models/CareerApplication.ts                                                                                                                       4              0             85
./tests/reader-page-metadata.test.ts                                                                                                                   12              0             85
./app/api/ai/tts/route.ts                                                                                                                              10              0             84
./lib/utils/articleMedia.ts                                                                                                                            17              0             84
./.next-dev/static/chunks/app-pages-internals.js                                                                                                       46             53             83
./lib/storage/marketingLeadsFile.ts                                                                                                                    12              0             83
./.idea/workspace.xml                                                                                                                                   0              0             81
./NEXT_SPRINT.md                                                                                                                                       42              0             81
./app/(admin)/admin/media/page.tsx                                                                                                                      9             10             81
./lib/ai/contentEmbedder.ts                                                                                                                            14              0             80
./lib/types/epaper.ts                                                                                                                                   6              0             80
./.next-dev/server/app/api/ai/tts/route.js                                                                                                             47             51             79
./app/api/admin/epapers/upload/route.ts                                                                                                                 8              0             79
./.hostinger/releases/y6XMA5rFK6C-B6tfz7NAz/package.json                                                                                                0              0             78
./app/(admin)/admin/categories/page.tsx                                                                                                                 8              0             78
./lib/constants/epaperCities.ts                                                                                                                        19              1             78
./lib/utils/epaperFiles.ts                                                                                                                             21              0             78
./lib/workflow/transitions.ts                                                                                                                          10              0             78
./package.json                                                                                                                                          0              0             78
./lib/analytics/trackClient.ts                                                                                                                         16              2             77
./lib/models/EPaper.ts                                                                                                                                  8              2             76
./.hostinger/releases/i-qnQMj5Xv_aZV7id707z/package.json                                                                                                0              0             75
./lib/storage/advertiseInquiriesFile.ts                                                                                                                 8              0             75
./lib/utils/epaperArticles.ts                                                                                                                          10              0             75
./.next-dev/server/app/manifest.webmanifest/route.js                                                                                                   44             48             74
./.next-dev/server/middleware.js                                                                                                                       48             54             74
./tests/api/admin-articles-route.test.ts                                                                                                               13              0             74
./.hostinger/releases/v44H6uGmf-5zP_7oh7VmH/package.json                                                                                                0              0             73
./components/ui/LanguageToggle.tsx                                                                                                                      7              0             73
./.hostinger/releases/CWYPHpu2J8JKTP_1Vf4gO/package.json                                                                                                0              0             72
./app/api/admin/media/route.ts                                                                                                                          9              0             72
./lib/storage/careerApplicationsFile.ts                                                                                                                 8              0             72
./components/providers/ThemeProvider.tsx                                                                                                               15              0             71
./app/api/admin/epapers/import/route.ts                                                                                                                 9              0             70
./app/api/admin/epapers/assist/route.ts                                                                                                                 9              0             69
./app/api/ai/categories/route.ts                                                                                                                       12              0             69
./DEPLOY_SMOKE_CHECKLIST.md                                                                                                                            33              0             68
./EPAPER_V2_SETUP.md                                                                                                                                   26              0             68
./components/ai-chat/AiChatActionChips.tsx                                                                                                              6              0             67
./lib/utils/articleShare.ts                                                                                                                            14              2             67
./components/layout/SideRail.tsx                                                                                                                        8              0             64
./scripts/seed-fixtures.json                                                                                                                            0              0             64
./tests/metadata-routes.test.ts                                                                                                                         9              0             64
./app/api/articles/[id]/route.ts                                                                                                                       11              0             62
./lib/storage/analyticsEventsFile.ts                                                                                                                    9              1             62
./components/layout/DesktopNav.tsx                                                                                                                     11              0             60
./components/auth/AdminSigninBanner.tsx                                                                                                                 8              0             59
./components/auth/SigninRoleBanner.tsx                                                                                                                  9              0             59
./lib/models/schemas/workflow.ts                                                                                                                        5              0             59
./scripts/verify-deploy.js                                                                                                                             14              0             59
./components/ui/ErrorBoundary.tsx                                                                                                                      10              0             57
./lib/utils/youtube.ts                                                                                                                                 10              0             57
./app/api/subscribe/route.ts                                                                                                                           10              0             56
./data/categories.json                                                                                                                                  0              0             56
./.next-dev/types/app/(admin)/admin/analytics/page.ts                                                                                                  19             10             55
./.next-dev/types/app/(admin)/admin/articles/new/page.ts                                                                                               19             10             55
./.next-dev/types/app/(admin)/admin/articles/page.ts                                                                                                   19             10             55
./.next-dev/types/app/(admin)/admin/layout.ts                                                                                                          19             10             55
./.next-dev/types/app/(admin)/admin/my-work/page.ts                                                                                                    19             10             55
./.next-dev/types/app/(admin)/admin/page.ts                                                                                                            19             10             55
./.next-dev/types/app/(admin)/admin/review-queue/page.ts                                                                                               19             10             55
./.next-dev/types/app/(admin)/admin/settings/page.ts                                                                                                   19             10             55
./.next-dev/types/app/(admin)/admin/stories/page.ts                                                                                                    19             10             55
./.next-dev/types/app/(admin)/admin/team/page.ts                                                                                                       19             10             55
./.next-dev/types/app/(admin)/layout.ts                                                                                                                19             10             55
./.next-dev/types/app/(auth)/signin/page.ts                                                                                                            19             10             55
./.next-dev/types/app/(marketing)/page.ts                                                                                                              19             10             55
./.next-dev/types/app/(reader)/main/layout.ts                                                                                                          19             10             55
./.next-dev/types/app/(reader)/main/page.ts                                                                                                            19             10             55
./.next-dev/types/app/layout.ts                                                                                                                        19             10             55
./app/manifest.ts                                                                                                                                       1              0             55
./app/api/admin/categories/[id]/route.ts                                                                                                                6              1             54
./scripts/test-gemini-tts.ts                                                                                                                           11              0             54
./.next-dev/server/vendor-chunks/jsonwebtoken.js                                                                                                       37             44             53
./app/api/admin/team/options/route.ts                                                                                                                   6              0             53
./app/api/public/uploads/[...path]/route.ts                                                                                                             6              0             53
./lib/types/tts.ts                                                                                                                                      7              0             53
./middleware.ts                                                                                                                                         6              1             53
./lib/content/storyPersistence.ts                                                                                                                      13              1             51
./tsconfig.json                                                                                                                                         0              0             51
./lib/auth/articleAuthorScope.ts                                                                                                                       12              0             50
./lib/constants/company.ts                                                                                                                              7              8             50
./lib/models/TtsAuditEvent.ts                                                                                                                           5              0             49
./.next-dev/static/chunks/app/(admin)/admin/my-work/page.js                                                                                            25             32             48
./.next-dev/static/chunks/app/(admin)/admin/page.js                                                                                                    25             32             48
./.next-dev/static/chunks/app/(admin)/admin/review-queue/page.js                                                                                       25             32             48
./lib/models/EPaperArticle.ts                                                                                                                           7              0             48
./app/api/admin/media/[id]/route.ts                                                                                                                     4              0             47
./scripts/rollback-hostinger-release.js                                                                                                                 8              0             46
./ADMIN_RUNTIME_CHECKLIST.md                                                                                                                           20              0             44
./app/sitemap.ts                                                                                                                                       10              0             44
./components/ui/ThemeToggle.tsx                                                                                                                         5              0             44
./.next-dev/static/chunks/app/(admin)/layout.js                                                                                                        22             29             43
./lib/models/Story.ts                                                                                                                                   3              0             43
./lib/models/Video.ts                                                                                                                                   5              0             43
./.next-dev/static/webpack/app/(admin)/admin/page.e201e31d35f4a3f7.hot-update.js                                                                       25             32             41
./lib/models/ContentActivity.ts                                                                                                                         5              0             41
./components/ui/SkeletonCard.tsx                                                                                                                        3              0             40
./lib/auth/roles.ts                                                                                                                                     9              0             40
./app/(reader)/main/contact/layout.tsx                                                                                                                  6              0             39
./app/api/ai/test/route.ts                                                                                                                              4              0             39
./.next-dev/server/_error.js                                                                                                                           21             27             38
./.next-dev/server/pages/_error.js                                                                                                                     21             27             38
./.next-dev/static/chunks/_error.js                                                                                                                    19             26             38
./.next-dev/static/chunks/pages/_error.js                                                                                                              19             26             38
./scripts/hash-password.ts                                                                                                                             10              0             38
./lib/models/MarketingLead.ts                                                                                                                           5              0             37
./types/next-auth.d.ts                                                                                                                                  3              0             37
./lib/auth/admin.ts                                                                                                                                     7              0             36
./lib/models/Category.ts                                                                                                                                5              1             33
./.next-dev/server/middleware-build-manifest.js                                                                                                         1              0             32
./scripts/sync-next-env-dist.js                                                                                                                         9              0             32
./.next-dev/build-manifest.json                                                                                                                         0              0             31
./.next-dev/fallback-build-manifest.json                                                                                                                0              0             31
./lib/auth/jwt.ts                                                                                                                                       7              0             31
./lib/models/Subscriber.ts                                                                                                                              3              0             31
./.hostinger/releases/v44H6uGmf-5zP_7oh7VmH/server.js                                                                                                   8              0             30
./.hostinger/releases/y6XMA5rFK6C-B6tfz7NAz/server.js                                                                                                   8              0             30
./.next-dev/server/pages/_document.js                                                                                                                  15             21             30
./.next-dev/server/vendor-chunks/@panva.js                                                                                                             19             26             30
./.next-dev/server/vendor-chunks/@swc.js                                                                                                               19             26             30
./.next-dev/server/vendor-chunks/motion-utils.js                                                                                                       19             26             30
./lib/models/AnalyticsEvent.ts                                                                                                                          5              0             30
./public/placeholders/news-16x9.svg                                                                                                                     1              0             29
